SupplierID,SupplierAddress,SupplierName,SupplierContactDetails,ProductID,CarMaker,CarModel,CarColor,CarModelYear,CarPrice,CustomerID,CustomerName,Gender,JobTitle,PhoneNumber,EmailAddress,City,Country,CountryCode,State,CustomerAddress,OrderDate,OrderID,ShipDate,ShipMode,Shipping,PostalCode,Sales,Quantity,Discount,CreditCardType,CreditCard,CustomerFeedback
230,1 Chinook Center,Rooxo,238-97-7709,9343,Honda,Accord Crosstour,Crimson,2011,665856.64,21695-285,Reinhard Leachman,Male,Budget/Accounting Analyst III,713-561-9214,rleachman6d@parallels.com,Houston,United States,US,Texas,454 Oak Trail,2019/06/12,54868-4850,2019/05/29,First Class,Truck,77260,777119.40,1,0.59,jcb,3564214860847903,Very Bad
231,71 Stang Point,Yabox,591-32-4673,3893,Chrysler,Concorde,Teal,2002,520771.77,60429-505,Corie Charnick,Female,Senior Quality Engineer,805-515-9050,ccharnick6e@acquirethisname.com,San Luis Obispo,United States,US,California,52 Anderson Pass,2018/10/27,49999-449,2019/03/20,Standard Class,Truck,93407,858094.56,2,0.83,americanexpress,341218340355086,Very Bad
232,1259 Mockingbird Terrace,Yabox,139-07-9700,9455,Audi,S4,Orange,2001,514620.28,68258-6100,Brandy Marcome,Male,Developer IV,315-173-5833,bmarcome6f@seesaa.net,Syracuse,United States,US,New York,2470 Northwestern Center,2019/05/07,76439-142,2019/03/11,First Class,Truck,13205,918098.21,1,0.73,visa-electron,4844298012809069,Okay
233,80 Warrior Point,Avamba,163-52-9668,5849,Mercury,Sable,Maroon,2003,522233.76,52584-024,Georgia Versey,Female,Actuary,212-819-8294,gversey6g@mit.edu,Jamaica,United States,US,New York,1 Cody Way,2018/11/06,43526-103,2019/03/02,Standard Class,Air,11499,809727.39,2,0.84,jcb,3571164034022266,Very Good
234,32 Dawn Hill,Twitterwire,412-07-3378,0207,Lincoln,Navigator,Indigo,2007,564853.64,36987-1607,Kitty Bryers,Female,VP Product Management,903-705-1528,kbryers6h@google.com,Tyler,United States,US,Texas,8168 School Trail,2019/01/21,52125-245,2019/02/13,Same Day,Truck,75705,905674.77,1,0.87,mastercard,5010123007187534,Very Good
235,344 Marquette Park,Abatz,499-24-9122,0053,Mazda,MPV,Puce,1992,750536.81,49215-0001,Flory Martugin,Female,Human Resources Manager,561-947-1421,fmartugin6i@phoca.cz,Boca Raton,United States,US,Florida,7 Lakeland Terrace,2018/11/04,0093-7394,2019/05/01,First Class,Air,33432,833339.07,2,0.68,jcb,3541491824078696,Good
236,5 Lawn Drive,Voonte,167-88-2365,3887,Bentley,Azure,Indigo,2010,617480.31,50563-112,Trip Stansell,Male,Budget/Accounting Analyst I,303-501-9600,tstansell6j@merriam-webster.com,Littleton,United States,US,Colorado,6 Fallview Point,2019/06/11,11896-0018,2019/02/23,Standard Class,Truck,80127,857281.07,2,0.31,americanexpress,374622671809811,Good
237,04740 6th Point,Trilith,875-19-0318,4050,Mitsubishi,Starion,Yellow,1987,755397.16,52642-006,Petra Joliffe,Female,Human Resources Manager,770-809-0562,pjoliffe6k@cafepress.com,Atlanta,United States,US,Georgia,8738 Schmedeman Way,2018/12/18,51514-0304,2019/02/06,First Class,Truck,30340,877668.97,2,0.77,maestro,5038940940538117594,Very Bad
238,989 Thompson Street,Mymm,899-94-1913,8664,Lamborghini,Murciélago,Blue,2002,603490.60,0555-1056,Noelle Gullan,Female,Budget/Accounting Analyst I,412-652-4348,ngullan6l@jalbum.net,Pittsburgh,United States,US,Pennsylvania,21084 Fremont Court,2019/06/05,68462-205,2019/04/03,Second Class,Air,15255,936683.82,2,0.54,diners-club-carte-blanche,30039036457085,Very Good
239,9 Rusk Parkway,Skimia,869-81-5558,5375,GMC,Savana 3500,Teal,2007,515971.07,41250-467,Hatty Melmore,Female,Assistant Media Planner,717-315-7277,hmelmore6m@spotify.com,Harrisburg,United States,US,Pennsylvania,93997 Scofield Lane,2019/01/04,63187-185,2019/02/15,First Class,Truck,17105,906670.05,2,0.29,jcb,3544988345053949,Very Good
240,2 Lawn Crossing,Shufflester,342-84-4393,7109,Kia,Sedona,Khaki,2003,748998.64,76237-153,Cindy Gertray,Female,Recruiter,404-979-2302,cgertray6n@mapy.cz,Atlanta,United States,US,Georgia,01044 Dayton Center,2018/11/27,51060-010,2019/04/18,Same Day,Air,30343,918739.46,1,0.74,maestro,676155849491497236,Very Good
241,80696 Fisk Street,Thoughtblab,799-32-0894,3508,Mazda,Mazdaspeed 3,Indigo,2007,522598.43,55143-012,Alex Longhi,Female,Pharmacist,513-600-3392,alonghi6o@123-reg.co.uk,Cincinnati,United States,US,Ohio,3356 Burning Wood Pass,2018/11/17,54569-0650,2019/01/17,First Class,Air,45296,951519.83,2,0.59,instapayment,6381536839405791,Very Good
242,3741 Pankratz Crossing,Centimia,664-93-7706,8819,Chevrolet,Corvette,Purple,2000,707930.63,35356-301,Gerti Morston,Female,Account Coordinator,423-360-8605,gmorston6p@unicef.org,Chattanooga,United States,US,Tennessee,8 Rutledge Point,2019/01/20,50970-003,2019/05/29,First Class,Air,37405,896520.79,2,0.38,laser,6709896633835703120,Very Bad
243,405 Manley Trail,Oozz,684-23-0409,8751,Toyota,Land Cruiser,Fuscia,2011,755210.78,10157-9875,Bernadene Lorkings,Female,Administrative Officer,561-927-9650,blorkings6q@e-recht24.de,Delray Beach,United States,US,Florida,72 Becker Center,2019/01/05,39822-4200,2019/01/01,Second Class,Air,33448,821081.22,1,0.5,diners-club-international,36026449417362,Okay
244,0 Barby Center,Yacero,423-48-3505,1422,Volvo,V40,Goldenrod,2004,655763.96,52686-274,Victor Ivan,Male,Graphic Designer,651-514-2942,vivan6r@bravesites.com,Saint Paul,United States,US,Minnesota,07 Harbort Lane,2018/07/14,0363-0459,2019/03/15,First Class,Truck,55127,815360.30,1,0.69,jcb,3573273309289225,Good
245,47 Larry Lane,Yakidoo,306-25-6630,2559,Jaguar,XJ Series,Turquoise,1993,669756.37,36987-1048,Deana Chillingworth,Female,Recruiting Manager,850-243-9764,dchillingworth6s@netscape.com,Panama City,United States,US,Florida,762 Calypso Park,2018/09/02,11084-704,2019/05/15,First Class,Air,32412,734353.19,2,0.49,visa-electron,4844438200103137,Bad
246,50049 Montana Point,Bubbletube,610-26-2412,9452,Infiniti,G,Green,2007,530760.44,58411-102,Marne Vinsen,Female,Junior Executive,626-352-3260,mvinsen6t@free.fr,Pasadena,United States,US,California,58 Prentice Crossing,2019/03/24,63739-231,2019/04/20,Second Class,Truck,91125,822574.56,1,0.54,diners-club-carte-blanche,30227384968098,Bad
247,41631 Mendota Trail,Meembee,589-42-7665,284,Chevrolet,Camaro,Turquoise,1977,682006.48,68788-9942,Webb Jenk,Male,Financial Advisor,210-663-7834,wjenk6u@a8.net,San Antonio,United States,US,Texas,2 Bunting Crossing,2018/09/13,52993-125,2019/05/11,First Class,Truck,78285,966408.44,1,0.44,mastercard,5108754096615721,Very Bad
248,76827 Old Gate Avenue,Eamia,815-68-4554,0054,Infiniti,G37,Yellow,2011,753206.05,43269-780,Fidela Gepson,Female,Technical Writer,541-120-8588,fgepson6v@usatoday.com,Eugene,United States,US,Oregon,8823 Mcbride Plaza,2018/11/20,43063-401,2019/03/27,Second Class,Truck,97405,915779.62,2,0.42,mastercard,5002357078832509,Good
249,4 Monterey Terrace,Avaveo,897-67-8034,1739,Subaru,XT,Teal,1985,686586.66,16590-244,Enriqueta Blissett,Female,Research Nurse,847-850-7613,eblissett6w@infoseek.co.jp,Palatine,United States,US,Illinois,2 Summerview Road,2018/08/12,66975-354,2019/04/03,Standard Class,Truck,60078,847308.19,2,0.3,diners-club-carte-blanche,30539136929073,Very Good
250,85 Schlimgen Junction,Geba,748-60-5619,9179,Hyundai,Sonata,Puce,2000,591827.18,63739-283,Kristofor Mobius,Male,Account Representative II,856-143-9887,kmobius6x@examiner.com,Camden,United States,US,New Jersey,08700 Shoshone Plaza,2018/10/13,66336-002,2019/02/23,First Class,Truck,08104,761593.60,1,0.43,jcb,3549403543907032,Bad
251,6 Esker Crossing,Dabtype,753-10-7022,6093,Ford,Ranger,Aquamarine,1984,705287.01,64159-6989,Olivia Lord,Female,Sales Associate,303-711-0764,olord6y@mail.ru,Denver,United States,US,Colorado,4071 Dapin Lane,2019/04/24,65044-2042,2019/02/05,First Class,Truck,80223,748821.37,2,0.4,jcb,3567491378249486,Very Bad
252,110 Muir Crossing,Zoomcast,835-58-8785,4873,Isuzu,Rodeo,Green,1998,790573.68,50844-753,Arielle Chrestien,Female,Research Nurse,214-971-5732,achrestien6z@va.gov,Dallas,United States,US,Texas,70214 Maywood Lane,2019/02/19,55154-2416,2019/02/12,Standard Class,Truck,75323,711330.70,2,0.34,bankcard,5602257572561832,Good
253,90 Morningstar Avenue,Shuffletag,501-34-1783,8884,Lamborghini,Murciélago LP640,Goldenrod,2008,698779.93,14783-323,Johannes Gentzsch,Male,Editor,704-956-6488,jgentzsch70@amazon.co.jp,Charlotte,United States,US,North Carolina,66149 Main Terrace,2018/07/29,49967-075,2019/01/14,First Class,Air,28263,907301.72,1,0.27,jcb,3585581790304659,Very Bad
254,7002 Stone Corner Park,Eidel,253-89-5050,4872,Chevrolet,Astro,Yellow,1996,610262.72,54868-5607,Domenico Starmer,Male,Chemical Engineer,904-791-7393,dstarmer71@hatena.ne.jp,Jacksonville,United States,US,Florida,284 Browning Terrace,2019/06/13,21695-678,2019/05/11,First Class,Air,32225,721444.86,1,0.68,diners-club-carte-blanche,30288794652227,Very Good
255,80 Talmadge Street,Skipstorm,181-41-7940,1641,Acura,RL,Blue,2000,626418.85,58232-9911,Dione Kenington,Female,Teacher,781-376-3826,dkenington72@51.la,Watertown,United States,US,Massachusetts,569 Delladonna Trail,2019/03/03,58118-0570,2019/02/10,Same Day,Air,02472,905077.85,2,0.25,jcb,3536270200775183,Very Bad
256,8510 Hollow Ridge Way,Brainbox,435-89-0824,4549,Subaru,Legacy,Green,2009,781026.77,36800-647,Oran MacCrann,Male,Director of Sales,814-812-7417,omaccrann73@dell.com,Erie,United States,US,Pennsylvania,493 Memorial Avenue,2018/08/09,46122-028,2019/05/19,Same Day,Truck,16534,708543.00,2,0.38,diners-club-us-ca,5410675671368621,Very Bad
257,7114 Pierstorff Way,Dynabox,432-13-7009,3830,Pontiac,Grand Prix,Aquamarine,1992,760929.24,11822-0900,Will Lumley,Male,Statistician IV,212-512-9828,wlumley74@vimeo.com,New York City,United States,US,New York,33 Buhler Court,2019/02/28,25021-824,2019/02/24,Same Day,Air,10029,948947.68,1,0.43,diners-club-enroute,201448835802958,Okay
258,808 Maple Wood Road,Jetwire,345-99-5630,8773,Subaru,Legacy,Pink,2010,788851.31,43458-1004,Dawna Crier,Female,Executive Secretary,602-896-0611,dcrier75@kickstarter.com,Phoenix,United States,US,Arizona,7324 Kinsman Road,2019/02/01,55289-463,2019/02/23,Second Class,Truck,85062,703566.96,1,0.52,jcb,3543563401976563,Very Good
259,6 Ronald Regan Drive,Mudo,159-44-1592,2103,Ford,F-Series Super Duty,Maroon,2010,556626.30,37808-437,Sigismondo Gillings,Male,Speech Pathologist,410-460-3425,sgillings76@reverbnation.com,Baltimore,United States,US,Maryland,45341 Daystar Trail,2018/09/25,54868-3157,2019/05/17,First Class,Air,21290,946609.07,2,0.41,mastercard,5100131817790992,Bad
260,5672 Darwin Alley,Camimbo,385-60-9979,159,Mercedes-Benz,C-Class,Red,2012,539453.70,68135-020,Fidelia Lauchlan,Female,Teacher,614-631-5515,flauchlan77@mtv.com,Columbus,United States,US,Ohio,8 Loomis Point,2019/05/21,15127-258,2019/01/30,Second Class,Truck,43204,912590.74,1,0.84,visa,4017953609609,Good
261,237 Charing Cross Drive,Voomm,289-73-0573,2169,Mercedes-Benz,CL-Class,Crimson,2004,798192.93,42411-043,Marta Collens,Female,Junior Executive,585-842-3258,mcollens78@ezinearticles.com,Rochester,United States,US,New York,78047 Sheridan Plaza,2018/08/19,52959-737,2019/03/07,Same Day,Truck,14646,752316.03,1,0.72,jcb,3569937233302355,Good
262,6832 Eggendart Park,Yamia,859-66-6522,4679,Audi,A6,Indigo,1996,716071.15,18860-678,Amy Roderigo,Female,Geologist II,434-116-0366,aroderigo79@chronoengine.com,Charlottesville,United States,US,Virginia,7229 Dryden Terrace,2018/10/30,53346-1323,2019/04/27,Same Day,Air,22903,740186.16,2,0.34,jcb,3583152784902320,Okay
263,8 Dapin Center,Blogtag,188-43-3442,0529,Cadillac,Eldorado,Yellow,1999,662587.93,51060-045,Dione McPartling,Female,Help Desk Technician,478-506-3914,dmcpartling7a@diigo.com,Macon,United States,US,Georgia,2072 Sullivan Street,2018/12/11,65342-0100,2019/01/31,Second Class,Truck,31217,948713.24,1,0.78,visa-electron,4917661840500998,Very Good
264,22 Meadow Ridge Alley,Jayo,626-13-4141,3766,Dodge,Caliber,Orange,2007,550981.27,47593-359,Laurette Carn,Female,Developer IV,334-396-2155,lcarn7b@upenn.edu,Montgomery,United States,US,Alabama,93 Loomis Lane,2019/01/19,65903-247,2019/05/07,Second Class,Air,36177,983410.65,1,0.63,visa-electron,4175005879015311,Okay
265,1416 Eggendart Street,Youfeed,189-06-3930,0729,Chevrolet,Suburban 1500,Orange,2009,749090.42,61245-146,Elwin Breckon,Male,Electrical Engineer,682-509-6202,ebreckon7c@geocities.jp,Fort Worth,United States,US,Texas,95236 Ohio Alley,2019/03/18,0268-0275,2019/02/28,Same Day,Truck,76110,930665.34,1,0.51,americanexpress,345332652044927,Bad
266,4870 Sherman Way,Vidoo,562-22-3910,3826,GMC,Savana 1500,Purple,2007,634779.32,0456-3407,Saundra Demcak,Male,Teacher,763-146-9679,sdemcak7d@harvard.edu,Monticello,United States,US,Minnesota,22733 Walton Avenue,2019/02/04,36800-366,2019/01/21,First Class,Air,55590,715166.87,2,0.47,maestro,5038053142568700885,Very Good
267,440 Arizona Center,Linkbridge,504-57-9924,9001,Toyota,Tundra,Yellow,2008,609769.87,49349-866,Van Ayree,Male,Chemical Engineer,402-769-7150,vayree7e@github.com,Lincoln,United States,US,Nebraska,90198 Chinook Alley,2019/03/06,44911-0022,2019/06/09,Standard Class,Air,68583,885462.32,1,0.5,visa-electron,4508018547517574,Bad
268,9083 Debra Crossing,Twinder,196-80-7223,8007,Subaru,Loyale,Khaki,1990,685084.75,49349-952,Lora Chomicki,Female,Sales Associate,214-909-4415,lchomicki7f@unblog.fr,Houston,United States,US,Texas,02 Johnson Avenue,2019/03/07,0378-1160,2019/04/20,Second Class,Truck,77005,732301.00,1,0.41,laser,63049026091215810,Bad
269,73 Walton Park,Twitterlist,109-86-9293,5792,Volkswagen,Cabriolet,Orange,1992,558901.59,24236-063,Andromache Bernardez,Female,Analyst Programmer,801-222-0204,abernardez7g@goo.ne.jp,Salt Lake City,United States,US,Utah,0141 Crescent Oaks Circle,2019/05/30,43857-0030,2019/01/04,Same Day,Truck,84110,764462.90,1,0.87,china-unionpay,5602213648005247,Very Good
270,403 Bayside Parkway,Mynte,808-41-4378,9045,GMC,1500,Yellow,1997,561693.79,59011-444,Jordan Heatlie,Male,Software Test Engineer IV,719-129-4996,jheatlie7h@bluehost.com,Colorado Springs,United States,US,Colorado,75 South Pass,2019/04/17,49614-228,2019/05/02,Standard Class,Truck,80915,924763.35,2,0.57,jcb,3541671823221690,Bad
271,49 Merry Circle,Jatri,649-68-2842,4441,Volkswagen,Touareg 2,Khaki,2009,554922.83,49288-0176,Elvis Woollin,Male,GIS Technical Architect,334-720-4918,ewoollin7i@phoca.cz,Montgomery,United States,US,Alabama,9 Brentwood Drive,2018/07/17,55714-4409,2019/05/31,Second Class,Air,36119,829806.93,2,0.36,visa,4041591333505,Very Bad
272,57 Trailsway Road,Twitterlist,150-57-2640,411,Chevrolet,Suburban 1500,Maroon,2001,649244.90,68752-025,Agathe Vanelli,Female,Assistant Professor,775-698-1030,avanelli7j@cisco.com,Reno,United States,US,Nevada,40 Waywood Junction,2019/01/08,55154-9429,2019/05/19,Same Day,Truck,89550,870746.72,2,0.67,diners-club-enroute,201940989171933,Bad
273,4 High Crossing Road,Jaxspan,843-67-9704,2591,Land Rover,Range Rover,Fuscia,2005,549060.90,63014-1600,Dannie Abba,Female,Web Designer II,330-304-8372,dabba7k@shareasale.com,Youngstown,United States,US,Ohio,12692 Ohio Park,2018/10/05,0093-4160,2019/05/31,Standard Class,Air,44505,756323.57,1,0.86,jcb,3559928230446206,Good
274,32339 Judy Court,Oloo,859-96-9189,4108,Oldsmobile,Aurora,Fuscia,1996,739662.76,16864-001,Chico Adrienne,Male,Sales Representative,203-491-1590,cadrienne7l@berkeley.edu,Norwalk,United States,US,Connecticut,67 Pawling Lane,2018/10/26,49035-202,2019/04/07,Standard Class,Truck,06854,762908.87,1,0.52,jcb,3536078751578496,Bad
275,4445 Michigan Pass,Thoughtbridge,686-99-7947,3451,Buick,Roadmaster,Crimson,1991,676920.58,53808-0396,Eddie Ortsmann,Female,Safety Technician IV,312-110-7916,eortsmann7m@studiopress.com,Chicago,United States,US,Illinois,6 Maryland Road,2019/05/17,54473-210,2019/02/19,Same Day,Air,60609,962162.33,1,0.87,jcb,3556682263474204,Very Good
276,57 Cambridge Terrace,Lazz,769-44-2351,4299,Plymouth,Laser,Maroon,1993,789584.18,14783-451,Deina Tallyn,Female,Software Engineer I,205-699-3632,dtallyn7n@auda.org.au,Birmingham,United States,US,Alabama,2211 Novick Avenue,2018/11/12,37205-187,2019/04/17,First Class,Truck,35242,740646.41,2,0.66,americanexpress,374622505451400,Okay
277,53549 Reindahl Terrace,Avamm,866-71-2942,0024,Honda,Civic,Crimson,2003,641468.71,69152-0078,Peria Bovis,Female,Biostatistician II,901-523-2545,pbovis7o@mayoclinic.com,Memphis,United States,US,Tennessee,6262 Florence Drive,2019/04/26,58232-0749,2019/02/06,Same Day,Air,38109,821835.59,1,0.28,jcb,3539489542700892,Good
278,7947 Mallory Trail,Lajo,740-59-3740,3222,Chevrolet,K5 Blazer,Purple,1995,700933.80,68387-802,Riley McGeechan,Male,Internal Auditor,406-295-0934,rmcgeechan7p@digg.com,Bozeman,United States,US,Montana,4237 Lien Park,2019/02/28,11673-245,2019/05/06,Standard Class,Air,59771,769660.81,2,0.34,jcb,3557673615173452,Okay
279,23 Buhler Street,Divavu,311-70-1584,612,Toyota,Avalon,Crimson,2005,750136.44,36987-2864,Nolly Kayser,Male,Safety Technician I,512-542-4541,nkayser7q@privacy.gov.au,Austin,United States,US,Texas,52 Pawling Crossing,2018/07/03,41250-854,2019/02/17,Standard Class,Air,78721,965227.41,1,0.65,diners-club-enroute,201941940510672,Okay
280,0 Lakewood Junction,Meezzy,891-42-5567,3929,Kia,Soul,Violet,2012,630981.26,57237-025,Germain Darleston,Female,Account Representative IV,530-843-7188,gdarleston7r@woothemes.com,Chico,United States,US,California,47 Anhalt Park,2019/01/31,57520-0332,2019/04/23,Second Class,Truck,95973,880242.79,2,0.82,jcb,3537475331264739,Good
281,1349 Huxley Crossing,Zoomdog,172-98-2152,8772,Acura,MDX,Red,2009,771998.97,0682-0334,Tiebout Pizzey,Male,Marketing Assistant,907-140-0701,tpizzey7s@unblog.fr,Anchorage,United States,US,Alaska,9 Dapin Point,2018/07/14,49999-338,2019/03/26,Standard Class,Air,99522,896282.31,2,0.25,jcb,3535851012066589,Bad
282,16053 Atwood Parkway,Youfeed,803-36-5701,7968,Subaru,Justy,Yellow,1988,770428.67,0258-3687,Natale Swabey,Male,Environmental Specialist,757-935-7324,nswabey7t@networkadvertising.org,Norfolk,United States,US,Virginia,204 Sunfield Hill,2018/10/03,68788-0384,2019/02/17,Second Class,Air,23514,843893.64,2,0.57,china-unionpay,56104464559606004,Very Bad
283,74909 Ludington Trail,Gigabox,665-01-6932,8460,Mitsubishi,L300,Aquamarine,1990,691843.34,68258-3024,Stearne Fullerton,Male,Web Designer III,830-895-2597,sfullerton7u@newsvine.com,San Antonio,United States,US,Texas,645 Bellgrove Crossing,2018/07/29,49348-847,2019/01/16,First Class,Air,78230,978185.90,2,0.8,laser,6709615819572385391,Good
284,19733 Mcguire Center,Zoomcast,709-19-1132,437,Ford,F150,Indigo,2004,713413.43,61722-160,Suzette Danzelman,Female,Computer Systems Analyst III,571-477-5661,sdanzelman7v@mlb.com,Arlington,United States,US,Virginia,465 Laurel Trail,2018/12/19,76340-4001,2019/04/11,Second Class,Truck,22244,907268.87,1,0.51,jcb,3550131020529831,Very Good
285,4 Graedel Street,Lazz,438-56-6113,1033,GMC,Yukon XL 1500,Pink,2002,643916.65,54340-779,Madelon Ambroz,Female,Design Engineer,818-652-8669,mambroz7w@de.vu,Torrance,United States,US,California,90567 Arizona Terrace,2019/01/08,0440-8505,2019/06/07,Same Day,Air,90510,951156.30,2,0.87,jcb,3532224049798272,Very Good
286,1 Carberry Lane,Skynoodle,205-86-5112,5759,Suzuki,Forenza,Teal,2006,786575.33,13734-023,Mano Valeri,Male,Accountant III,727-806-4128,mvaleri7x@apple.com,Clearwater,United States,US,Florida,1871 Stephen Hill,2018/07/20,0135-0532,2019/02/24,Second Class,Truck,34629,826982.52,2,0.87,jcb,3554787755935059,Okay
287,15 Caliangt Terrace,Flipbug,801-84-1627,6561,Buick,Somerset,Mauv,1985,538273.20,0781-3315,Bengt Idiens,Male,Assistant Manager,727-421-2331,bidiens7y@google.cn,Saint Petersburg,United States,US,Florida,24 Norway Maple Hill,2018/09/16,65121-885,2019/05/19,Standard Class,Truck,33710,967548.35,1,0.6,jcb,3583103142551358,Very Bad
288,464 Dayton Avenue,Eamia,190-67-6241,7839,Honda,CR-X,Goldenrod,1985,573485.27,41163-496,Britta Danielsky,Female,Desktop Support Technician,516-936-3022,bdanielsky7z@stumbleupon.com,New Hyde Park,United States,US,New York,8185 Crescent Oaks Terrace,2019/02/16,57520-0500,2019/06/13,Standard Class,Air,11044,813997.82,1,0.37,jcb,3532414886016793,Good
289,00085 Anniversary Parkway,Geba,776-41-4516,6072,BMW,5 Series,Goldenrod,2012,531392.16,55154-5089,Boonie Milkeham,Male,Compensation Analyst,936-580-3986,bmilkeham80@fc2.com,Conroe,United States,US,Texas,53800 Scott Circle,2019/03/11,11673-407,2019/01/20,Second Class,Air,77305,919142.33,1,0.78,switch,490306015307102022,Bad
290,88834 Maywood Court,Tagfeed,198-36-2680,3610,Pontiac,Sunbird,Purple,1991,524432.54,0006-0951,Felike Penvarne,Male,Media Manager II,202-786-2819,fpenvarne81@nydailynews.com,Washington,United States,US,District of Columbia,93 Katie Junction,2018/10/06,17575-006,2019/01/28,Standard Class,Air,20057,747147.58,2,0.27,jcb,3536610097237963,Good
291,35345 Del Mar Center,Divape,645-85-7740,1481,Toyota,Tundra,Goldenrod,2004,506274.41,61755-001,Jobye Dowzell,Female,VP Marketing,504-530-3056,jdowzell82@youtube.com,New Orleans,United States,US,Louisiana,642 Main Parkway,2018/11/30,61727-310,2019/05/15,Same Day,Air,70142,847468.73,1,0.35,mastercard,5533416971615409,Very Good
292,850 Gerald Park,Flashspan,861-42-1270,5021,Pontiac,Firefly,Aquamarine,1995,719071.21,51079-768,Shelby Morratt,Female,Civil Engineer,212-684-7274,smorratt83@4shared.com,New York City,United States,US,New York,16713 Larry Place,2018/12/04,60505-0027,2019/01/29,Standard Class,Truck,10260,933482.06,1,0.75,diners-club-carte-blanche,30401252615459,Good
293,34 Fieldstone Way,Jaxbean,572-91-5758,5719,GMC,3500 Club Coupe,Puce,1996,747040.10,48951-6040,Cristabel Killshaw,Female,Computer Systems Analyst I,814-395-3699,ckillshaw84@seattletimes.com,Erie,United States,US,Pennsylvania,9 Merry Road,2018/07/29,48951-7023,2019/04/28,Second Class,Truck,16550,701880.61,2,0.39,mastercard,5007667104382658,Bad
294,63 Russell Road,Rhynoodle,883-45-8165,436,Jaguar,XK,Blue,2006,723632.51,68391-517,Lois Braunstein,Female,Nuclear Power Engineer,253-522-6297,lbraunstein85@fastcompany.com,Lakewood,United States,US,Washington,34 Dwight Court,2019/02/05,24488-021,2019/01/06,Standard Class,Air,98498,706493.63,2,0.34,jcb,3554759135265275,Very Good
295,13 Hauk Way,Aivee,759-95-6944,4041,Pontiac,Grand Am,Fuscia,1988,511763.96,60429-369,Chandler Hawkett,Male,GIS Technical Architect,410-264-7720,chawkett86@sciencedirect.com,Ridgely,United States,US,Maryland,373 Green Lane,2018/08/02,15127-989,2019/01/25,Same Day,Truck,21684,981485.26,2,0.85,maestro,67616962146733072,Okay
296,566 Westerfield Point,Twitterlist,181-96-4964,146,Lincoln,MKZ,Violet,2007,732421.30,30142-406,Matthieu Bonifant,Male,Accountant IV,801-430-3792,mbonifant87@engadget.com,Salt Lake City,United States,US,Utah,86 Annamark Pass,2019/02/10,66758-054,2019/03/12,Same Day,Air,84130,941955.73,1,0.85,china-unionpay,5602214659822801,Good
297,4199 Bonner Terrace,Ntag,653-46-8005,9542,Buick,Rainier,Indigo,2005,539855.21,45802-806,Brande Sebright,Female,Project Manager,419-840-1084,bsebright88@i2i.jp,Toledo,United States,US,Ohio,95 Jana Lane,2019/03/20,68400-311,2019/03/23,First Class,Truck,43605,730755.76,1,0.31,maestro,676127785661170762,Very Bad
298,0347 Morrow Avenue,Demizz,554-87-1854,8052,Mercedes-Benz,E-Class,Khaki,2007,725040.78,43269-612,Dorena Coatham,Female,Librarian,520-135-7763,dcoatham89@abc.net.au,Tucson,United States,US,Arizona,8 2nd Trail,2018/09/21,21695-572,2019/06/04,Standard Class,Truck,85748,735854.69,1,0.6,mastercard,5101727216327432,Good
299,627 Havey Drive,JumpXS,360-25-1937,8765,Volkswagen,Passat,Mauv,2012,714281.60,55154-1855,Elladine Rivaland,Female,Executive Secretary,716-555-9600,erivaland8a@unblog.fr,Buffalo,United States,US,New York,5458 Maple Alley,2019/01/10,60512-6350,2019/01/17,Same Day,Air,14269,908766.53,2,0.33,mastercard,5100142164873166,Good
300,474 Sunfield Alley,Flipopia,322-29-9723,7050,Isuzu,Hombre,Crimson,1999,759318.30,49967-159,Griselda Ginnaly,Female,Sales Associate,954-456-3186,gginnaly8b@berkeley.edu,Miami,United States,US,Florida,9 Kennedy Way,2018/07/06,11410-800,2019/03/08,Second Class,Air,33169,890159.82,2,0.5,jcb,3572950218764684,Bad
301,85 Carpenter Place,Topicstorm,502-56-3936,8739,Ford,F-Series,Goldenrod,2001,709836.01,65862-521,Joel Haverty,Male,Web Designer III,727-712-6176,jhaverty8c@businessweek.com,Clearwater,United States,US,Florida,7 Anhalt Parkway,2018/08/06,53808-0799,2019/06/02,Second Class,Air,34615,701426.93,2,0.53,maestro,676333552007711331,Bad
302,9 Pennsylvania Crossing,Agimba,296-32-9525,5596,Scion,xD,Blue,2011,558849.23,59746-211,Madonna Agge,Female,GIS Technical Architect,719-523-4709,magge8d@imdb.com,Pueblo,United States,US,Colorado,99 Derek Crossing,2019/04/23,54569-0322,2019/02/22,Second Class,Truck,81010,777353.71,1,0.65,bankcard,5602248140750130,Very Good
303,94529 Glacier Hill Lane,Zava,339-20-6980,8520,Scion,xB,Pink,2005,751328.48,61047-817,Hart Martins,Male,Accounting Assistant II,520-854-6196,hmartins8e@sohu.com,Tucson,United States,US,Arizona,59 Hoffman Junction,2019/03/09,33992-0054,2019/02/04,First Class,Air,85754,889707.79,2,0.26,visa-electron,4844826917365371,Bad
304,7813 Del Mar Terrace,Skinder,343-66-6270,5561,Acura,TL,Pink,2007,516176.10,50436-4379,Maryl Jacquemard,Female,Graphic Designer,864-248-2548,mjacquemard8f@google.ru,Anderson,United States,US,South Carolina,83 Montana Park,2019/03/03,53950-7007,2019/02/15,Second Class,Air,29625,807218.78,1,0.66,switch,4911158526343484,Very Bad
